code,name,group,fifa_rank,attack,defense,midfield,transition,setpiece,goalkeeper,depth,coach,penalties,discipline,health,form,climate_resilience,altitude_resilience,travel_resilience,elo_current,d_1yr,d_2yr,elo_wc2022,ppda,shot_quality,press_intensity,comeback_rate,choke_rate,form_data_driven
SEN,Senegal,I,11,80,81,78,84,77,80,77,79,78,74,85,57.2000,84,79,81,1867,106,137,1730,4.6000,0.1005,0.4445,0.3000,0.2000,57.2000
MAR,Morocco,C,12,80,82,79,81,79,81,77,78,79,74,85,53.5000,82,80,79,1827,57,150,1677,5.3000,0.1168,0.4631,0.3000,0.2000,53.5000
COL,Colombia,K,13,81,79,80,79,82,78,78,78,82,75,83,62.0000,80,77,77,1982,-29,54,1928,4.3800,0.1571,0.5386,0.3000,0.2000,62.0000
URU,Uruguay,H,14,79,81,79,80,80,80,77,79,79,75,84,50.3000,78,77,76,1892,-99,-43,1935,4.1000,0.1112,0.4443,0.3000,0.2000,50.3000
NOR,Norway,I,15,82,76,78,85,78,77,75,77,82,74,84,63.8000,79,76,78,1914,180,176,1738,,,,,,63.8000
CRO,Croatia,L,16,78,79,84,73,81,80,77,81,80,74,83,55.4000,76,75,75,1911,-57,86,1825,4.0300,0.1547,0.4284,0.3000,0.2000,55.4000
SUI,Switzerland,B,17,77,79,78,76,79,79,76,77,78,74,84,57.9000,77,75,76,1891,87,2,1889,4.0900,0.1073,0.4107,0.3000,0.2000,57.9000
AUT,Austria,J,18,78,78,79,80,77,77,75,79,77,74,84,49.2000,78,76,76,1830,-33,84,1746,,,,,,49.2000
MEX,Mexico,A,19,75,77,76,77,78,77,77,76,79,73,84,55.5000,84,79,82,1875,84,-13,1888,3.7800,0.0789,0.4318,0.3000,0.2000,55.5000
USA,United States,D,20,76,75,77,81,75,76,76,77,77,72,83,40.0000,83,78,81,1726,-59,-64,1790,4.8300,0.0856,0.3836,0.3000,0.2000,40.0000
ECU,Ecuador,E,21,76,79,76,81,75,76,75,77,76,74,84,60.8000,83,84,77,1938,66,145,1793,4.2200,0.1269,0.3971,0.3000,0.2000,60.8000
SWE,Sweden,F,22,77,76,75,78,77,76,75,76,78,75,84,46.9000,78,75,76,1712,38,-136,1848,3.6000,0.1270,0.5869,0.3000,0.2000,46.9000
ALG,Algeria,J,23,77,75,75,79,77,74,74,76,77,73,83,52.0000,81,78,79,1760,131,15,1745,,,,,,52.0000
PAR,Paraguay,D,24,74,77,74,75,79,77,73,74,78,75,84,56.2000,78,76,77,1833,124,62,1771,,,,,,56.2000
TUN,Tunisia,F,25,73,77,72,74,77,76,72,74,76,74,83,35.7000,82,77,78,1628,-58,-19,1647,3.7500,0.1057,0.4976,0.3000,0.2000,35.7000
IRN,Iran,G,26,74,76,74,76,77,76,72,74,78,76,83,45.8000,82,77,79,1772,-48,-21,1793,5.2200,0.1166,0.5029,0.3000,0.2000,45.8000
AUS,Australia,D,27,73,75,73,77,75,75,72,74,76,74,84,46.8000,81,77,83,1777,7,46,1731,4.9900,0.0933,0.4384,0.3000,0.2000,46.8000
SCO,Scotland,C,28,74,74,73,76,76,75,72,74,75,74,83,48.2000,77,75,77,1782,13,104,1678,,,,,,48.2000
TUR,Turkey,D,29,76,73,75,79,74,74,73,76,76,75,83,62.5000,79,76,78,1911,155,111,1800,,,,,,62.5000
KOR,South Korea,A,30,74,73,74,78,74,74,72,75,76,74,83,46.0000,83,78,80,1758,22,-4,1762,4.2700,0.0807,0.4824,0.3000,0.2000,46.0000
EGY,Egypt,G,31,73,75,73,75,77,74,72,74,78,74,82,44.3000,81,77,78,1696,53,98,1598,4.3300,0.0963,0.4838,0.3000,0.2000,44.3000
CZE,Czech Republic,A,32,73,73,74,75,76,74,72,74,76,73,82,43.6000,77,74,76,1740,-33,-27,1767,,,,,,43.6000
CIV,Ivory Coast,E,33,74,74,73,78,75,74,73,74,75,74,83,44.8000,82,78,79,1695,60,54,1641,,,,,,44.8000
BIH,Bosnia and Herzegovina,B,34,72,72,73,72,75,73,70,72,75,74,82,41.1000,76,74,76,1595,118,-33,1628,,,,,,41.1000
GHA,Ghana,L,35,73,71,71,78,73,71,71,73,74,74,82,30.6000,81,76,79,1510,-22,-89,1599,6.0300,0.1341,0.3924,0.3000,0.2000,30.6000
PAN,Panama,L,36,69,73,69,73,73,72,69,71,72,73,82,45.6000,82,76,81,1730,21,184,1546,5.6000,0.0998,0.5486,0.3000,0.2000,45.6000
QAT,Qatar,B,37,70,71,71,72,74,72,70,70,73,73,82,13.4000,84,77,82,1421,-208,-233,1654,6.9500,0.0704,0.3571,0.3000,0.2000,13.4000
IRQ,Iraq,I,38,69,72,69,72,72,72,69,70,72,74,82,35.6000,84,77,83,1618,-41,-12,1630,,,,,,35.6000
KSA,Saudi Arabia,H,39,69,72,69,71,73,72,69,71,73,74,82,31.6000,84,78,82,1569,-45,-10,1579,4.3500,0.0965,0.4214,0.3000,0.2000,31.6000
RSA,South Africa,A,40,68,71,68,72,71,71,68,70,71,74,82,28.5000,82,77,79,1518,-61,40,1478,,,,,,28.5000
UZB,Uzbekistan,K,41,68,71,68,73,71,71,68,71,72,74,82,45.8000,82,78,80,1718,49,149,1569,,,,,,45.8000
JOR,Jordan,J,42,66,70,67,71,70,70,66,69,71,74,82,44.4000,82,77,80,1680,71,204,1476,,,,,,44.4000
CPV,Cape Verde,H,43,67,71,67,72,70,70,66,69,70,74,82,36.0000,80,77,79,1578,26,140,1438,,,,,,36.0000
NZL,New Zealand,G,44,65,69,65,68,71,69,65,68,70,74,82,35.5000,79,76,80,1562,37,77,1485,,,,,,35.5000
CUW,Curaçao,E,45,64,68,64,69,70,68,64,67,69,75,82,29.4000,81,76,81,1434,81,2,1432,,,,,,29.4000
HAI,Haiti,C,46,66,66,64,72,68,66,63,66,68,75,81,35.2000,82,77,82,1548,51,-17,1565,,,,,,35.2000
COD,DR Congo,K,47,67,68,66,73,68,67,64,67,69,75,82,45.1000,82,77,80,1661,115,187,1474,,,,,,45.1000
CAN,Canada,B,18,76,75,76,80,75,75,76,76,77,73,84,50.9000,83,78,80,1788,77,161,1627,4.2300,0.1122,0.3619,0.3000,0.2000,50.9000
