team,group_survival_prob,r16_prob,qf_prob,sf_prob,final_prob,champion_prob,runner_up_prob,third_place_prob,fourth_place_prob,champion_ci_low,champion_ci_high,final_ci_low,final_ci_high,sf_ci_low,sf_ci_high,group_ci_low,group_ci_high
SWE,0.63458,0.29531,0.144,0.06512,0.02896,0.01301,0.01595,0.01634,0.01982,0.012326,0.013731,0.027939,0.030018,0.063607,0.066666,0.63159,0.637559
PAR,0.65912,0.32108,0.1486,0.06797,0.03037,0.01283,0.01754,0.01708,0.02052,0.012151,0.013546,0.029324,0.031452,0.066427,0.069547,0.656176,0.662052
IRN,0.68952,0.32973,0.15184,0.06706,0.02966,0.01245,0.01721,0.01719,0.02021,0.011781,0.013156,0.028626,0.03073,0.065526,0.068627,0.686645,0.69238
SCO,0.62801,0.29684,0.13989,0.06147,0.02609,0.01097,0.01512,0.01545,0.01993,0.010343,0.011635,0.02512,0.027096,0.059998,0.062976,0.625009,0.631001
TUR,0.64822,0.30864,0.13899,0.06106,0.02583,0.01096,0.01487,0.01543,0.0198,0.010333,0.011624,0.024865,0.026832,0.059593,0.062561,0.645255,0.651174
ALG,0.63817,0.28691,0.13546,0.06113,0.02647,0.01082,0.01565,0.01535,0.01931,0.010197,0.01148,0.025493,0.027483,0.059662,0.062632,0.635186,0.641143
KOR,0.67648,0.32126,0.13897,0.05963,0.0248,0.00984,0.01496,0.01524,0.01959,0.009247,0.010471,0.023854,0.025782,0.058179,0.061115,0.673574,0.679373
AUS,0.63158,0.2965,0.13084,0.0567,0.02399,0.00953,0.01446,0.01395,0.01876,0.008946,0.010151,0.02306,0.024957,0.055284,0.058151,0.628585,0.634565
TUN,0.58487,0.25411,0.11435,0.04971,0.02061,0.00839,0.01222,0.0121,0.017,0.007843,0.008975,0.019748,0.021509,0.04838,0.051075,0.581813,0.587921
CIV,0.63009,0.28861,0.1209,0.05115,0.02075,0.00799,0.01276,0.01318,0.01722,0.007457,0.008561,0.019885,0.021652,0.049802,0.052533,0.627093,0.633077
EGY,0.63007,0.27867,0.11914,0.04823,0.01889,0.00737,0.01152,0.01209,0.01725,0.006858,0.007919,0.018065,0.019752,0.046919,0.049575,0.627073,0.633057
CZE,0.64356,0.29241,0.12117,0.0482,0.01877,0.00734,0.01143,0.01199,0.01744,0.00683,0.007888,0.017947,0.01963,0.04689,0.049545,0.640586,0.646523
GHA,0.56197,0.24005,0.10236,0.04286,0.01685,0.00644,0.01041,0.01083,0.01518,0.005963,0.006955,0.016071,0.017667,0.041622,0.044133,0.558893,0.565043
BIH,0.61598,0.27612,0.11185,0.04402,0.01726,0.00619,0.01107,0.01037,0.01639,0.005722,0.006695,0.016471,0.018086,0.042766,0.045309,0.612961,0.61899
PAN,0.54443,0.22709,0.09348,0.03702,0.01391,0.0053,0.00861,0.00902,0.01409,0.004869,0.005769,0.013203,0.014655,0.035867,0.038208,0.541342,0.547515
KSA,0.54429,0.21424,0.08876,0.03404,0.01311,0.00474,0.00837,0.00775,0.01318,0.004333,0.005185,0.012423,0.013834,0.032934,0.035182,0.541202,0.547375
UZB,0.54212,0.21096,0.08276,0.03176,0.01187,0.00441,0.00746,0.00761,0.01228,0.004018,0.00484,0.011217,0.01256,0.030691,0.032865,0.53903,0.545206
IRQ,0.48245,0.19983,0.07845,0.02885,0.01067,0.00385,0.00682,0.00679,0.01139,0.003485,0.004253,0.010052,0.011326,0.02783,0.029906,0.479354,0.485548
CPV,0.5161,0.19286,0.07571,0.02748,0.00994,0.0035,0.00644,0.00656,0.01098,0.003153,0.003886,0.009344,0.010574,0.026485,0.028512,0.513002,0.519197
RSA,0.56676,0.2283,0.08371,0.03049,0.01049,0.00344,0.00705,0.00747,0.01253,0.003096,0.003822,0.009877,0.011141,0.029442,0.031574,0.563686,0.569829
QAT,0.54133,0.22126,0.081,0.02837,0.00977,0.00307,0.0067,0.00655,0.01205,0.002746,0.003433,0.009179,0.010399,0.027359,0.029417,0.53824,0.544417
COD,0.50536,0.18426,0.06785,0.02444,0.00865,0.00306,0.00559,0.00557,0.01022,0.002736,0.003422,0.008095,0.009243,0.023501,0.025415,0.502261,0.508459
NZL,0.5341,0.19889,0.07133,0.0253,0.00886,0.00297,0.00589,0.00592,0.01052,0.002651,0.003327,0.008298,0.00946,0.024345,0.026292,0.531007,0.53719
JOR,0.49035,0.17875,0.06851,0.02548,0.00871,0.00283,0.00588,0.00626,0.01051,0.002519,0.003179,0.008153,0.009305,0.024521,0.026475,0.487252,0.493449
CUW,0.48196,0.1805,0.06213,0.02182,0.00697,0.00222,0.00475,0.00501,0.00984,0.001947,0.002531,0.006473,0.007505,0.020933,0.022744,0.478864,0.485058
HAI,0.45668,0.17026,0.06192,0.02017,0.00665,0.00212,0.00453,0.00453,0.00899,0.001853,0.002425,0.006165,0.007173,0.019317,0.02106,0.453594,0.459769
