team,stage,probability
SUI,champion,0.018
AUT,group_survived,0.715
AUT,r16,0.351
AUT,qf,0.175
AUT,sf,0.103
AUT,final,0.055
AUT,champion,0.025
MEX,group_survived,0.725
MEX,r16,0.376
MEX,qf,0.167
MEX,sf,0.077
MEX,final,0.034
MEX,champion,0.015
USA,group_survived,0.715
USA,r16,0.353
USA,qf,0.19
USA,sf,0.091
USA,final,0.052
USA,champion,0.029
ECU,group_survived,0.683
ECU,r16,0.334
ECU,qf,0.157
ECU,sf,0.08
ECU,final,0.041
ECU,champion,0.023
SWE,group_survived,0.647
SWE,r16,0.301
SWE,qf,0.131
SWE,sf,0.065
SWE,final,0.029
SWE,champion,0.008
ALG,group_survived,0.63
ALG,r16,0.278
ALG,qf,0.138
ALG,sf,0.059
ALG,final,0.02
ALG,champion,0.007
PAR,group_survived,0.662
PAR,r16,0.313
PAR,qf,0.143
PAR,sf,0.068
PAR,final,0.028
PAR,champion,0.013
TUN,group_survived,0.618
TUN,r16,0.303
TUN,qf,0.143
TUN,sf,0.07
TUN,final,0.033
TUN,champion,0.013
IRN,group_survived,0.703
IRN,r16,0.332
IRN,qf,0.17
IRN,sf,0.073
IRN,final,0.039
IRN,champion,0.019
AUS,group_survived,0.668
AUS,r16,0.297
AUS,qf,0.132
AUS,sf,0.06
AUS,final,0.021
AUS,champion,0.008
SCO,group_survived,0.641
SCO,r16,0.291
SCO,qf,0.126
SCO,sf,0.061
SCO,final,0.033
SCO,champion,0.013
TUR,group_survived,0.654
TUR,r16,0.326
TUR,qf,0.141
TUR,sf,0.066
TUR,final,0.029
TUR,champion,0.014
KOR,group_survived,0.685
KOR,r16,0.382
KOR,qf,0.175
KOR,sf,0.074
KOR,final,0.035
KOR,champion,0.012
EGY,group_survived,0.64
EGY,r16,0.303
EGY,qf,0.154
EGY,sf,0.066
EGY,final,0.028
EGY,champion,0.011
CZE,group_survived,0.669
CZE,r16,0.329
CZE,qf,0.145
CZE,sf,0.058
CZE,final,0.023
CZE,champion,0.009
CIV,group_survived,0.649
CIV,r16,0.313
CIV,qf,0.122
CIV,sf,0.057
CIV,final,0.027
CIV,champion,0.009
BIH,group_survived,0.648
BIH,r16,0.32
BIH,qf,0.125
BIH,sf,0.048
BIH,final,0.016
BIH,champion,0.008
GHA,group_survived,0.592
GHA,r16,0.246
GHA,qf,0.109
GHA,sf,0.053
GHA,final,0.018
GHA,champion,0.007
PAN,group_survived,0.542
PAN,r16,0.228
PAN,qf,0.104
PAN,sf,0.047
PAN,final,0.015
PAN,champion,0.011
QAT,group_survived,0.609
QAT,r16,0.26
QAT,qf,0.109
QAT,sf,0.046
QAT,final,0.021
QAT,champion,0.008
IRQ,group_survived,0.498
IRQ,r16,0.226
IRQ,qf,0.096
IRQ,sf,0.037
IRQ,final,0.017
IRQ,champion,0.009
KSA,group_survived,0.563
KSA,r16,0.222
KSA,qf,0.091
KSA,sf,0.042
KSA,final,0.021
KSA,champion,0.008
RSA,group_survived,0.586
RSA,r16,0.246
RSA,qf,0.112
RSA,sf,0.05
RSA,final,0.015
RSA,champion,0.005
UZB,group_survived,0.56
UZB,r16,0.234
UZB,qf,0.106
UZB,sf,0.038
UZB,final,0.017
UZB,champion,0.007
JOR,group_survived,0.509
JOR,r16,0.192
JOR,qf,0.083
JOR,sf,0.032
JOR,final,0.016
JOR,champion,0.006
CPV,group_survived,0.538
CPV,r16,0.204
CPV,qf,0.082
CPV,sf,0.026
CPV,final,0.009
CPV,champion,0.004
NZL,group_survived,0.541
NZL,r16,0.197
NZL,qf,0.061
NZL,sf,0.024
NZL,final,0.009
NZL,champion,0.006
CUW,group_survived,0.505
CUW,r16,0.194
CUW,qf,0.07
CUW,sf,0.029
CUW,final,0.011
CUW,champion,0.002
HAI,group_survived,0.489
HAI,r16,0.181
HAI,qf,0.067
HAI,sf,0.023
HAI,final,0.005
HAI,champion,0.003
COD,group_survived,0.554
COD,r16,0.222
COD,qf,0.081
COD,sf,0.031
COD,final,0.015
COD,champion,0.007
CAN,group_survived,0.724
CAN,r16,0.359
CAN,qf,0.192
CAN,sf,0.108
CAN,final,0.057
CAN,champion,0.026
